               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  80,            0.033557,           0.0088816,           0.0059414,            0.070508,             0.47222,             0.11272,            0.085597,            0.014589,           0.0021949,           0.0081014,           0.0060895,           0.0060895,           0.0060895
                  81,            0.029974,            0.008431,           0.0060554,            0.029662,             0.65278,             0.10523,            0.053472,            0.018206,           0.0040403,           0.0089912,             0.00604,             0.00604,             0.00604
                  82,            0.032599,           0.0081191,           0.0056285,             0.03445,             0.35648,            0.047636,            0.029138,            0.020646,           0.0021154,            0.032817,           0.0059905,           0.0059905,           0.0059905
                  83,            0.033287,           0.0085262,           0.0068126,              0.1052,             0.48765,             0.12292,            0.053432,            0.017738,           0.0020773,          0.00074319,            0.005941,            0.005941,            0.005941
                  84,            0.032227,            0.008554,           0.0060179,             0.08125,             0.34259,             0.11579,            0.036886,            0.019468,           0.0023908,          0.00070115,           0.0058915,           0.0058915,           0.0058915
                  85,              0.0329,           0.0082658,           0.0060775,             0.12486,              0.3858,             0.14952,            0.056433,            0.017507,           0.0022175,          0.00087275,            0.005842,            0.005842,            0.005842
                  86,            0.030949,           0.0090006,           0.0059505,            0.081587,             0.39313,             0.11543,            0.055552,            0.017497,           0.0024551,          0.00074997,           0.0057925,           0.0057925,           0.0057925
                  87,            0.032969,           0.0084065,           0.0051726,             0.10455,             0.43519,             0.13566,            0.056188,            0.017631,           0.0023198,           0.0002869,            0.005743,            0.005743,            0.005743
                  88,            0.030766,           0.0082707,           0.0054866,             0.11999,             0.41049,             0.13211,            0.062916,             0.01678,           0.0020424,          0.00079985,           0.0056935,           0.0056935,           0.0056935
                  89,            0.034567,           0.0088966,           0.0059037,             0.11614,             0.48555,             0.15015,            0.071068,             0.01586,           0.0022178,          0.00018238,            0.005644,            0.005644,            0.005644
                  90,             0.03115,           0.0081675,           0.0061649,            0.090905,             0.43056,             0.11518,            0.079159,            0.015853,           0.0021931,            0.014162,           0.0055945,           0.0055945,           0.0055945
                  91,            0.029662,           0.0086237,           0.0061042,              0.1248,             0.20988,             0.13097,            0.066716,            0.017009,           0.0021522,           0.0035366,            0.005545,            0.005545,            0.005545
                  92,            0.031861,           0.0083662,           0.0063635,            0.099314,             0.41204,             0.13668,            0.060143,            0.016716,           0.0020038,          0.00049348,           0.0054955,           0.0054955,           0.0054955
                  93,            0.030077,           0.0086759,           0.0061281,             0.12601,             0.41049,             0.13696,            0.062427,             0.01724,           0.0023197,          0.00075273,            0.005446,            0.005446,            0.005446
                  94,            0.032746,           0.0087852,           0.0056878,            0.029677,             0.58333,             0.13228,            0.092832,             0.01501,            0.002583,            0.015669,           0.0053965,           0.0053965,           0.0053965
                  95,            0.032249,           0.0080951,           0.0057327,             0.10888,             0.43381,             0.14363,            0.080802,            0.015708,           0.0021671,          0.00067394,            0.005347,            0.005347,            0.005347
                  96,            0.032157,           0.0087192,           0.0062049,             0.10929,             0.33642,             0.14649,            0.067084,            0.017511,           0.0021135,          0.00069922,           0.0052975,           0.0052975,           0.0052975
                  97,            0.030719,            0.008553,           0.0052944,             0.12529,               0.375,              0.1353,            0.088711,            0.017098,           0.0025079,           0.0072375,            0.005248,            0.005248,            0.005248
                  98,            0.033132,            0.008566,           0.0048731,              0.4202,             0.36111,             0.10055,            0.030884,            0.018735,           0.0022637,           0.0013373,           0.0051985,           0.0051985,           0.0051985
                  99,            0.030286,           0.0083109,           0.0052238,            0.081989,             0.37963,             0.11621,            0.049757,            0.017229,           0.0024422,          0.00036262,            0.005149,            0.005149,            0.005149
                 100,            0.031303,           0.0081927,            0.005271,             0.10052,             0.38117,             0.12194,            0.039947,            0.017884,           0.0022402,           0.0010518,           0.0050995,           0.0050995,           0.0050995
                 101,            0.030956,           0.0084532,           0.0055818,              0.1276,             0.40278,             0.14006,            0.094714,            0.014991,           0.0022044,           0.0077329,             0.00505,             0.00505,             0.00505
                 102,            0.035413,           0.0082293,           0.0053007,            0.097993,             0.42438,             0.11448,            0.040745,            0.017789,           0.0021525,           0.0015973,           0.0050005,           0.0050005,           0.0050005
                 103,            0.031929,            0.008519,           0.0055764,            0.079489,             0.41049,             0.12461,            0.049274,            0.017226,           0.0021171,          9.4528e-05,            0.004951,            0.004951,            0.004951
                 104,            0.030275,           0.0081821,            0.005577,             0.10414,             0.33025,             0.13637,            0.076056,            0.016735,           0.0021715,          0.00068734,           0.0049015,           0.0049015,           0.0049015
                 105,            0.031596,            0.008491,           0.0058511,             0.10422,             0.30556,             0.12777,            0.065212,             0.01681,            0.002208,           0.0013712,            0.004852,            0.004852,            0.004852
                 106,            0.027871,           0.0083842,           0.0055306,            0.095013,             0.44206,             0.10373,            0.035778,            0.017884,           0.0020589,          0.00043329,           0.0048025,           0.0048025,           0.0048025
                 107,            0.030808,           0.0085585,           0.0053659,            0.054356,             0.28395,             0.11302,            0.066526,            0.015024,           0.0020016,           0.0012235,            0.004753,            0.004753,            0.004753
                 108,            0.033586,            0.008464,           0.0053433,             0.12596,             0.39165,             0.15118,            0.097433,            0.015796,           0.0025618,           0.0088175,           0.0047035,           0.0047035,           0.0047035
                 109,            0.034779,           0.0086007,           0.0051652,             0.10317,             0.35648,             0.11356,            0.057012,            0.016268,           0.0021752,           0.0015921,            0.004654,            0.004654,            0.004654
                 110,            0.031233,           0.0085207,           0.0060422,             0.10113,             0.43056,             0.12533,            0.055841,            0.016484,           0.0023968,          0.00016833,           0.0046045,           0.0046045,           0.0046045
                 111,            0.035922,           0.0085461,           0.0054069,             0.10266,             0.37963,             0.12379,            0.053637,            0.016602,           0.0020676,          9.3021e-05,            0.004555,            0.004555,            0.004555
                 112,            0.031437,           0.0085341,           0.0057644,             0.11107,             0.46142,             0.11907,             0.05206,            0.016418,           0.0022366,          7.4308e-05,           0.0045055,           0.0045055,           0.0045055
                 113,            0.029383,           0.0081966,           0.0049967,            0.066183,             0.54167,             0.10072,            0.060801,            0.014974,           0.0025445,            0.017937,            0.004456,            0.004456,            0.004456
                 114,            0.029251,            0.008129,           0.0056795,            0.089512,             0.36883,             0.13041,            0.053776,            0.015825,           0.0023298,          0.00011439,           0.0044065,           0.0044065,           0.0044065
                 115,            0.030135,            0.008473,           0.0058141,            0.055887,             0.51389,            0.088569,            0.046699,            0.018781,           0.0029094,            0.028473,            0.004357,            0.004357,            0.004357
                 116,            0.030329,           0.0082936,           0.0050063,             0.11558,               0.375,             0.13573,            0.085582,            0.015002,           0.0021166,          8.5286e-05,           0.0043075,           0.0043075,           0.0043075
                 117,            0.029484,           0.0081812,           0.0050211,             0.10304,             0.42284,             0.13814,            0.052063,            0.017355,           0.0021949,          0.00047343,            0.004258,            0.004258,            0.004258
                 118,            0.029473,           0.0083971,           0.0053477,            0.081819,             0.61111,             0.13733,            0.063068,            0.014485,           0.0025024,           0.0001762,           0.0042085,           0.0042085,           0.0042085
                 119,            0.028766,           0.0081202,           0.0052035,             0.11634,             0.39043,             0.12509,            0.051537,            0.017017,           0.0025694,             0.02232,            0.004159,            0.004159,            0.004159
                 120,            0.030392,           0.0083317,           0.0049713,             0.10775,             0.41049,             0.13155,            0.051358,            0.017236,           0.0024086,          0.00022306,           0.0041095,           0.0041095,           0.0041095
                 121,            0.033469,           0.0085586,           0.0056804,             0.07114,             0.32529,             0.11385,            0.050963,            0.016835,            0.002127,          0.00026039,             0.00406,             0.00406,             0.00406
                 122,            0.030835,            0.008651,           0.0057371,            0.092892,             0.38117,             0.14984,            0.074076,            0.015326,           0.0025285,          0.00059158,           0.0040105,           0.0040105,           0.0040105
                 123,            0.029296,           0.0081214,           0.0054307,             0.13044,              0.4321,             0.14758,            0.098199,            0.016132,           0.0023957,           0.0067723,            0.003961,            0.003961,            0.003961
                 124,            0.031127,           0.0083972,           0.0052248,             0.11296,             0.59722,             0.15054,             0.08347,            0.014743,           0.0019792,          0.00035863,           0.0039115,           0.0039115,           0.0039115
                 125,            0.029613,           0.0082139,           0.0047606,            0.091766,             0.40432,             0.14217,            0.072831,            0.015541,           0.0020487,          0.00038074,            0.003862,            0.003862,            0.003862
                 126,            0.029236,           0.0083972,           0.0053371,              0.1046,             0.24383,             0.14925,            0.065588,            0.016011,           0.0021271,           0.0012087,           0.0038125,           0.0038125,           0.0038125
                 127,            0.029333,           0.0081525,           0.0055596,             0.12688,             0.52715,             0.19118,             0.11796,            0.015368,            0.002037,          0.00027202,            0.003763,            0.003763,            0.003763
                 128,            0.031844,           0.0083533,           0.0053857,            0.096676,             0.42284,             0.12984,            0.058113,            0.016185,           0.0020313,           0.0004632,           0.0037135,           0.0037135,           0.0037135
